NZ_CP061537.1 Campylobacter coli strain PSU-32 chromosome, complete genome 
NZ_CP027638.1 Campylobacter coli strain meC0467 chromosome, complete genome 
NZ_CP027639.1 Campylobacter coli strain meC0280 chromosome, complete genome 
NZ_CP027634.1 Campylobacter coli strain meC0281 chromosome, complete genome 
NZ_CP063078.1 Campylobacter corcagiensis strain 2016D-0077 chromosome, complete genome 
NZ_CP063079.1 Campylobacter peloridis strain 2016D-0074 chromosome, complete genome 
NZ_CP063089.1 Campylobacter sp. 2014D-0216 chromosome, complete genome 
NZ_CP063091.1 Campylobacter cuniculorum strain 2010D-8469 chromosome, complete genome 
NZ_CP063357.1 Campylobacter jejuni strain R4B202 chromosome, complete genome 
NZ_CP049234.1 Campylobacter concisus strain P15UCO-S2 chromosome, complete genome 
NZ_CP049237.1 Campylobacter concisus strain H1O1 chromosome, complete genome 
NZ_CP049239.1 Campylobacter concisus strain P3UCO1 chromosome, complete genome 
NZ_CP049232.1 Campylobacter concisus strain H9O-S2 chromosome, complete genome 
NZ_CP065357.1 Campylobacter hepaticus strain UF2019SK1 chromosome, complete genome 
NZ_CP066027.1 Campylobacter coli strain FDAARGOS_1028 chromosome, complete genome 
NZ_CP066242.1 Campylobacter jejuni strain RM1221 chromosome, complete genome 
NZ_CP051880.1 Campylobacter fetus subsp. venerealis strain P4531 chromosome, complete genome 
NZ_CP066745.1 Campylobacter jejuni strain CJP19-D996 isolate CFSAN091032 chromosome, complete genome 
NZ_CP068172.1 Campylobacter lari strain FDAARGOS_1101 chromosome, complete genome 
NZ_CP068487.1 Campylobacter ureolyticus strain FDAARGOS_1102 chromosome 
NZ_CP071459.1 Campylobacter jejuni strain CAMSA2038 chromosome, complete genome 
NZ_CP071460.1 Campylobacter jejuni strain CAMSA2002 chromosome, complete genome 
NZ_CP071519.1 Campylobacter jejuni strain RM1245 chromosome, complete genome 
NZ_CP071574.1 Campylobacter jejuni strain RM1510 chromosome, complete genome 
NZ_CP071575.1 Campylobacter jejuni strain RM3147 chromosome, complete genome 
NZ_CP071576.1 Campylobacter jejuni strain R12 chromosome, complete genome 
NZ_CP071579.1 Campylobacter jejuni strain GB03 chromosome, complete genome 
NZ_CP071580.1 Campylobacter jejuni strain R23 chromosome, complete genome 
NZ_CP071581.1 Campylobacter jejuni strain R31 chromosome, complete genome 
NZ_CP071582.1 Campylobacter jejuni strain GB28 chromosome, complete genome 
NZ_CP071583.1 Campylobacter jejuni strain GB60 chromosome, complete genome 
NZ_CP071584.1 Campylobacter jejuni strain R73 chromosome, complete genome 
NZ_CP071585.1 Campylobacter jejuni subsp. jejuni strain GB26 chromosome, complete genome 
NZ_CP071577.1 Campylobacter jejuni strain GB18 chromosome, complete genome 
NZ_CP071578.1 Campylobacter jejuni strain R72 chromosome, complete genome 
NZ_CP071592.1 Campylobacter jejuni subsp. jejuni strain GB19 chromosome, complete genome 
NZ_CP072664.1 Campylobacter fetus subsp. fetus strain CITCf01 chromosome, complete genome 
NZ_CP072665.1 Campylobacter fetus subsp. fetus strain CITCf02 chromosome, complete genome 
NZ_CP068566.1 Campylobacter coli strain CC19DZ037 chromosome, complete genome 
NZ_CP086166.1 Campylobacter jejuni strain OBT12377 chromosome, complete genome 
NZ_CP086163.1 Campylobacter jejuni strain OBT12393 chromosome, complete genome 
NZ_CP086164.1 Campylobacter jejuni strain OBT12390 chromosome, complete genome 
NZ_CP086168.1 Campylobacter jejuni strain CMP10190 chromosome, complete genome 
NZ_CP086165.1 Campylobacter jejuni strain OBT12386 chromosome, complete genome 
NZ_CP086169.1 Campylobacter jejuni strain 6-1198-19 chromosome 
NZ_CP086171.1 Campylobacter jejuni strain 6-1083-19 chromosome, complete genome 
NZ_CP086170.1 Campylobacter jejuni strain 6-1197-19 chromosome, complete genome 
NZ_CP086172.1 Campylobacter jejuni strain 6-897-19 chromosome, complete genome 
NZ_CP085925.1 Campylobacter fetus subsp. testudinum strain FDAARGOS_1591 chromosome, complete genome 
NZ_CP085965.1 Campylobacter jejuni strain FDAARGOS_1546 chromosome, complete genome 
NZ_CP085963.1 Campylobacter gracilis strain FDAARGOS_1548 chromosome, complete genome 
NZ_CP085962.1 Campylobacter rectus strain FDAARGOS_1549 chromosome, complete genome 
NZ_CP085964.1 Campylobacter curvus strain FDAARGOS_1547 chromosome, complete genome 
NZ_LS483362.1 Campylobacter jejuni subsp. jejuni strain NCTC11168 chromosome 1, complete sequence 
NZ_LS483431.1 Campylobacter fetus subsp. fetus strain NCTC10842 chromosome 1, complete sequence 
NZ_LR134372.1 Campylobacter upsaliensis strain NCTC11541 chromosome 1, complete sequence 
NZ_LR134471.1 Campylobacter insulaenigrae strain NCTC12927 chromosome 1, complete sequence 
NZ_LR134497.1 Campylobacter jejuni strain NCTC13268 chromosome 1, complete sequence 
NZ_LR134498.1 Campylobacter jejuni strain NCTC13265 chromosome 1, complete sequence 
NZ_LR134500.1 Campylobacter jejuni strain NCTC13261 chromosome 1, complete sequence 
NZ_LR134499.1 Campylobacter jejuni strain NCTC13255 chromosome 1, complete sequence 
NZ_LR134502.1 Campylobacter jejuni strain NCTC13257 chromosome 1, complete sequence 
NZ_LR134505.1 Campylobacter jejuni subsp. jejuni strain NCTC12109 chromosome 1, complete sequence 
NZ_LR134507.1 Campylobacter jejuni strain NCTC12851 chromosome 1, complete sequence 
NZ_LR134508.1 Campylobacter lari strain NCTC11937 chromosome 1, complete sequence 
NZ_LR134511.1 Campylobacter jejuni subsp. jejuni strain NCTC10983 chromosome 1, complete sequence 
NZ_LR134534.1 Campylobacter insulaenigrae strain NCTC12928 chromosome 1, complete sequence 
NZ_LR535679.1 Campylobacter showae isolate B91_SC chromosome 1 
NZ_LR698972.1 Campylobacter curvus isolate MGYG-HGUT-01706 chromosome 1 
