user_genome	closest_placement_reference
PID-0444-20EPA015CP6__43936	s__Campylobacter_D jejuni
PID-0444-20EPA011CP3__43874	s__Campylobacter_D jejuni
PID-0657-20EPA027CP5__51328	s__Campylobacter_D coli
PID-1291-22EPA077CP6__76367	s__Campylobacter_D jejuni
PID-0666-21EPA039CF8__52143	s__Campylobacter_D jejuni
PID-0836-21EPA050CP9__57801	s__Campylobacter_D jejuni
PID-0444-20EPA015CP15__43934	s__Campylobacter_D jejuni
PID-0915-21EPA034CP3__60020	s__Campylobacter_D jejuni
PID-0444-20EPA011CF14__43963	s__Campylobacter_D jejuni
PID-1214-EPA097-9__71837	s__Campylobacter_D jejuni
PID-0836-21EPA049CP1__57720	s__Campylobacter_D jejuni
PID-0666-21EPA039CF12__52162	s__Campylobacter_D jejuni
PID-0657-20EPA027CF14__51318	s__Campylobacter_D coli
PID-0818-21EPA041CF10__56469	s__Campylobacter_D jejuni
PID-1250-22EPA083CP14__74216	s__Campylobacter_D jejuni
PID-0915-21EPA034CF4__59932	s__Campylobacter_D jejuni
PID-1291-22EPA077CP3__76359	s__Campylobacter_D jejuni
PID-0666-21EPA039CF14__52158	s__Campylobacter_D jejuni
PID-0915-21EPA034CF2__60027	s__Campylobacter_D jejuni
PID-0818-21EPA041CP2__56470	s__Campylobacter_D jejuni
PID-1250-22EPA080CP5__74249	s__Campylobacter_D jejuni
PID-0836-21EPA050CP1__57727	s__Campylobacter_D jejuni
PID-1108-22EPA078CP11__67508	s__Campylobacter_D jejuni
PID-0836-21EPA050CF7__57743	s__Campylobacter_D jejuni
PID-0444-20EPA015CF2__43960	s__Campylobacter_D jejuni
PID-0836-21EPA049CP2__57715	s__Campylobacter_D jejuni
PID-1150-22EPA087CP11__69335	s__Campylobacter_D coli
PID-0444-20EPA015CF9__43888	s__Campylobacter_D jejuni
PID-1150-22EPA087CP14__69352	s__Campylobacter_D coli
PID-1150-22EPA088CP14__69326	s__Campylobacter_D jejuni
PID-0915-21EPA034CP9__59952	s__Campylobacter_D jejuni
PID-0818-21EPA041CP6__56478	s__Campylobacter_D jejuni
PID-0836-21EPA050CF2__57713	s__Campylobacter_D jejuni
PID-0477-20EPA017CF9__45296	s__Campylobacter_D jejuni
PID-1108-22EPA079CP7__67514	s__Campylobacter_D jejuni
PID-1250-22EPA080CP1__74221	s__Campylobacter_D jejuni
